id;ligne;X;Y;nom;ville
1838;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.36431304821499;48.8431055835176;Gare d'Austerlitz;PARIS-13EME
1866;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.35469159842714;48.8458380895278;Jussieu;PARIS-05EME
1942;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.35147807315592;48.8463912485782;Cardinal-Lemoine;PARIS-05EME
1834;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.34850342965795;48.8499086726722;Maubert-Mutualite;PARIS-05EME
54244;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.34522158237992;48.8510383641319;Cluny-La Sorbonne;PARIS-05EME
1770;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.33855755868422;48.8522489363668;Odeon;PARIS-06EME
1812;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.33540928887416;48.8528181349058;Mabillon;PARIS-06EME
1632;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.32587286292213;48.8512043552606;Sevres-Babylone;PARIS-07EME
1643;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.32193434751113;48.848871662506;Vaneau;PARIS-07EME
1908;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.31672285703746;48.8467835319339;Duroc;PARIS-07EME
1631;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.30782041849586;48.8467524550776;Segur;PARIS-15EME
1874;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.29794929910712;48.8491605024288;La Motte-Picquet-Grenelle;PARIS-15EME
1994;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.29493807524416;48.8469642745973;Avenue Emile-Zola;PARIS-15EME
1952;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.28633238561987;48.8463362741362;Charles Michels;PARIS-15EME
1862;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.27845497841475;48.8461034637876;Javel-Andre-Citroen;PARIS-15EME
1746;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.27340595925819;48.8473396417237;Mirabeau;PARIS-16EME
1911;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.26890098784783;48.8471813581933;Eglise d'Auteuil;PARIS-16EME
1950;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.26654168725371;48.8447174018404;Chardon-Lagache;PARIS-16EME
1836;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.2642974417474;48.8477403459598;Michel-Ange-Auteuil;PARIS-16EME
1837;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.26204786419272;48.844867436543;Michel-Ange-Molitor;PARIS-16EME
1717;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.25864782764785;48.8480737822692;Porte d'Auteuil;PARIS-16EME
2018;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.23883585019659;48.8422216612984;Boulogne-Jean-Jauråès;BOULOGNE-BILLANCOURT
2019;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.22821129036639;48.8407983651067;Boulogne Pont de Saint-Cloud;BOULOGNE-BILLANCOURT
