id;ligne;X;Y;nom;ville
1872;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.32603867708385;48.8873918956469;La Fourche;PARIS-17EME
1851;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.32722675495985;48.8924675161233;Guy-Moquet;PARIS-18EME
1730;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.32883766969025;48.8972510523147;Porte de Saint-Ouen;PARIS-18EME
1844;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.33173327604333;48.9060316197727;Garibaldi;SAINT-OUEN
1818;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.334163015407;48.9120620157054;Mairie de Saint-Ouen;SAINT-OUEN
228266;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.34320024908898;48.9194552102366;Carrefour-Pleyel;SAINT-DENIS
22439;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.35741016429387;48.9296276098426;Saint-Denis-Porte de Paris;SAINT-DENIS
50622;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.35941471750625;48.9366033097107;Basilique de Saint-Denis;SAINT-DENIS
50399;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Chatillon - Montrouge);2.36235875823436;48.9456254805762;Saint-Denis-Universite;SAINT-DENIS
