id;ligne;X;Y;nom;ville
397629;8 (Pointe du Lac/Balard);2.46598982922341;48.7679578710506;Pointe du Lac;CRETEIL
1898;8 (Pointe du Lac/Balard);2.45914426746537;48.7797484034104;Creteil-Prefecture (Hotel de Ville);CRETEIL
1899;8 (Pointe du Lac/Balard);2.45144739751129;48.7893506910917;Creteil-Universite;CRETEIL
1897;8 (Pointe du Lac/Balard);2.44906187102647;48.7964623870188;Creteil-L'Echat (Hopital Henri Mondor);CRETEIL
21583;8 (Pointe du Lac/Balard);2.44499102669377;48.8031418697523;Maisons-Alfort-Les Juilliottes;MAISONS-ALFORT
21582;8 (Pointe du Lac/Balard);2.43558220356454;48.8084176209203;Maisons-Alfort-Stade;MAISONS-ALFORT
23674;8 (Pointe du Lac/Balard);2.42075635931134;48.8151517942859;Ecole Veterinaire de Maisons-Alfort;MAISONS-ALFORT
1951;8 (Pointe du Lac/Balard);2.41407434683562;48.8213638104296;Charenton-Ecoles;CHARENTON-LE-PONT
1803;8 (Pointe du Lac/Balard);2.40692557755493;48.8258380800419;Liberte;CHARENTON-LE-PONT
1715;8 (Pointe du Lac/Balard);2.40601835314784;48.8354388891914;Porte Doree;PARIS-12EME
1835;8 (Pointe du Lac/Balard);2.40296916119538;48.8367033669766;Michel Bizot;PARIS-12EME
1723;8 (Pointe du Lac/Balard);2.39970109937032;48.8325258939597;Porte de Charenton;PARIS-12EME
1901;8 (Pointe du Lac/Balard);2.39584590805199;48.8393629125482;Daumesnil (Felix Eboue);PARIS-12EME
1750;8 (Pointe du Lac/Balard);2.38980213751236;48.8442504626131;Montgallet;PARIS-12EME
1662;8 (Pointe du Lac/Balard);2.38611818658013;48.8472381327386;Reuilly-Diderot;PARIS-12EME
1917;8 (Pointe du Lac/Balard);2.38427458098634;48.8502384503521;Faidherbe-Chaligny;PARIS-11EME
1798;8 (Pointe du Lac/Balard);2.37594535235887;48.8511941201646;Ledru-Rollin;PARIS-12EME
2000;8 (Pointe du Lac/Balard);2.36918060506559;48.8528417309667;Bastille;PARIS-04EME
1958;8 (Pointe du Lac/Balard);2.36793452563335;48.8575640614859;Chemin Vert;PARIS-03EME
1699;8 (Pointe du Lac/Balard);2.36702409525746;48.8612805878047;Saint-Sebastien-Froissart;PARIS-03EME
1919;8 (Pointe du Lac/Balard);2.36645313804373;48.8633028923386;Filles du Calvaire;PARIS-03EME
1679;8 (Pointe du Lac/Balard);2.36366959820676;48.8674860390566;Republique;PARIS-11EME
1628;8 (Pointe du Lac/Balard);2.35409710573389;48.8691997057755;Strasbourg-Saint-Denis;PARIS-02EME
2015;8 (Pointe du Lac/Balard);2.34867956971335;48.8705587205312;Bonne Nouvelle;PARIS-09EME
1671;8 (Pointe du Lac/Balard);2.34319701067138;48.8714189081641;Grands Boulevards;PARIS-09EME
1665;8 (Pointe du Lac/Balard);2.33908809938486;48.8720139167525;Richelieu-Drouot;PARIS-09EME
1771;8 (Pointe du Lac/Balard);2.33180515640395;48.8707029411588;Opera;PARIS-09EME
1813;8 (Pointe du Lac/Balard);2.32516370025939;48.8700643517776;Madeleine;PARIS-08EME
1885;8 (Pointe du Lac/Balard);2.32329987859148;48.8661829956315;Concorde;PARIS-08EME
1857;8 (Pointe du Lac/Balard);2.31435704324728;48.8616865404563;Invalides;PARIS-07EME
54166;8 (Pointe du Lac/Balard);2.30959864479432;48.8573850541664;La Tour-Maubourg;PARIS-07EME
1909;8 (Pointe du Lac/Balard);2.30554381620113;48.8545185491092;Ecole Militaire;PARIS-07EME
1874;8 (Pointe du Lac/Balard);2.29794929910712;48.8491605024288;La Motte-Picquet-Grenelle;PARIS-15EME
1973;8 (Pointe du Lac/Balard);2.29335345012085;48.844811191807;Commerce;PARIS-15EME
1925;8 (Pointe du Lac/Balard);2.29199788779218;48.8429772288922;Felix Faure;PARIS-15EME
2017;8 (Pointe du Lac/Balard);2.28763431751091;48.8412408953716;Boucicaut;PARIS-15EME
1808;8 (Pointe du Lac/Balard);2.28175852328733;48.8384881095778;Lourmel;PARIS-15EME
1997;8 (Pointe du Lac/Balard);2.27821832700082;48.8362754634973;Balard;PARIS-15EME
